Question Type,Question,Human_Answer
Regression and Correlation,"Aaron’s Word Processing Service (AWPS) does word processing. The rate for services is 💲32 per hour
plus a 💲31.50 one-time charge. The total cost to a customer depends on the number of hours it takes
to complete the job. Find the equation that expresses the total cost in terms of the number of hours required to
complete the job.","Let x = the number of hours it takes to get the job done.
Let y = the total cost to the customer.
The 💲31.50 is a fixed cost. If it takes x hours to complete the job, then (32)(x) is the cost of the word
processing only. The total cost is: y = 31.50 + 32x"
Regression and Correlation,"Svetlana tutors to make extra money for college. For each tutoring session, she charges a one-time
fee of 💲25 plus 💲15 per hour of tutoring. A linear equation that expresses the total amount of
money Svetlana earns for each session she tutors is y = 25 + 15x.
What are the independent and dependent variables? What is the y-intercept and what is the
slope? Interpret them using complete sentences. ","The independent variable (x) is the number of hours Svetlana tutors each session. The dependent
variable (y) is the amount, in dollars, Svetlana earns for each session.
The y-intercept is 25 (a = 25). At the start of the tutoring session, Svetlana charges a one-time fee
of 💲25 (this is when x = 0). The slope is 15 (b = 15). For each session, Svetlana earns 💲15 for each
hour she tutors. "
Regression and Correlation,"Ethan repairs household appliances like dishwashers and refrigerators. For each visit, he charges
💲25 plus 💲20 per hour of work. A linear equation that expresses the total amount of money
Ethan earns per visit is y = 25 + 20x.
What are the independent and dependent variables? What is the y-intercept and what is the
slope? Interpret them using complete sentences. ","The independent variable (x) is the number of hours Ethan works each visit. The dependent
variable (y) is the amount, in dollars, Ethan earns for each visit.
The y-intercept is 25 (a = 25). At the start of a visit, Ethan charges a one-time fee of 💲25 (this is
when x = 0). The slope is 20 (b = 20). For each visit, Ethan earns 💲20 for each hour he works. "
Regression and Correlation,"For a given line of best fit, you computed that r = 0.6501 using n = 12 data points and the critical
value is 0.576. Can the line be used for prediction? Why or why not? ","If the scatter plot looks linear then, yes, the line can be used for prediction, because r > the positive
critical value."
Regression and Correlation,"For a given line of best fit, you compute that r = 0.5204 using n = 9 data points, and the critical
value is 0.666. Can the line be used for prediction? Why or why not? ","No, the line cannot be used for prediction, because r < the positive critical value. "
Regression and Correlation,"For the following 13 real estate prices, calculate the IQR and determine if any prices are potential outliers. Prices are in
dollars.
389,950; 230,500; 158,000; 479,000; 639,000; 114,950; 5,500,000; 387,000; 659,000; 529,000; 575,000; 488,800; 1,095,000 ","Order the data from smallest to largest.
114,950; 158,000; 230,500; 387,000; 389,950; 479,000; 488,800; 529,000; 575,000; 639,000; 659,000; 1,095,000; 5,500,000
M = 488,800
Q1 = (230,500 + 387,000) / 2 = 308,750
Q3 = (639,500 + 659,000) / 2 = 649,000
IQR = 649,000 – 308,750 = 340,250
(1.5)(IQR) = (1.5)(340,250) = 510,375
Q1 – (1.5)(IQR) = 308,750 – 510,375 = –201,625
Q3 + (1.5)(IQR) = 649,000 + 510,375 = 1,159,375
No house price is less than –201,625. However, 5,500,000 is more than 1,159,375. Therefore, 5,500,000 is a potential
outlier. "
Regression and Correlation,"Table gives experimental data for force (N) and velocity (m/s) for an object
suspended in a wind tunnel.

Velocity, v(m/s) | 10 | 20 |  30  |  40  |  50  |   60   |   70   |   80 
Force F(N)        | 24 | 68 | 378 | 552 | 608 | 1218 |  831  |1452

a) use the linear least-squares regression to determine the coefficients a and b in the function yˆ = a + bx that best fits the data.
b) estimate the force when the velocity is 55 m/s.","Here n = 8.

n | x | y | x^2 | xy
1 | 10 | 24 | 100 | 240
2 | 20 | 68 | 400 | 1360
3 | 30 | 378 | 900 | 11340
4 | 40 | 552 | 1600 | 22080
5 | 50 | 608 | 2500 | 30400
6 | 60 | 1218 | 3600 | 73080
7 | 70 | 831 | 4900 | 58170
8 | 80 | 1452 | 6400 | 116160
Σ | 360 | 5131 | 20400 | 312830

x¯ = Σx / n = 360/8 = 45
y¯ = Σy / n = 5131/8 = 641.375

b = SSxy / SSxx
where
SSxy = Σxy - (Σx)(Σy) / n = 312830 - (360)(5131) / 8 = 81935
and
SSxx = Σx² - (Σx)² / n = 20400 - (360)² / 8 = 4200
b = SSxy / SSxx = 81935 / 4200 = 19.5083
 we have
a = ȳ - bẍ = 641.375 - (19.5083)(45) = -236.50
Hence
ŷ = -236.50 + 19.5083x

b) The estimated value of the force when the velocity is 55 m/s, is given by
ŷ = a + bx = -236.50 + 19.5083(55) = 836.4583(N)."
Regression and Correlation,"For the data, calculate the

Velocity, v(m/s) | 10 | 20 |  30  |  40  |  50  |   60   |   70   |   80 
Force F(N)        | 24 | 68 | 378 | 552 | 608 | 1218 |  831  |1452

a) standard deviation of errors, se
b) error sum of squares, SSE
c) total sum of squares, SST
d) regression sum of squares, SSR
e) the coefficient of determination, r^2","n = 8
Σx = 360
Σy = 5131
Σx² = 20400
Σxy = 312830
Σy² = 5104841

Mean x = Σx / n = 360 / 8 = 45
Mean y = Σy / n = 5131 / 8 = 641.375

CURVE FITTING, REGRESSION, AND CORRELATION 267

SSxy = Σxy - ((Σx)(Σy)) / n
     = 312830 - (360)(5131) / 8
     = 81935

SSxx = Σx² - (Σx)² / n
     = 20400 - (360)² / 8
     = 4200

SSyy = Σy² - (Σy)² / n
     = 5104841 - (5131)² / 8
     = 1813945.875

b = SSxy / SSxx
  = 81935 / 4200
  = 19.5083

a = Mean y - b * Mean x
  = 641.375 - 19.5083x

a) The standard deviation of errors, se
se = square root of ( (SSyy - b * SSxy) / (n - 2) )
= square root of ( (1813945.875 - 19.5083 * 81935) / (8 - 2) )
= 189.5304
b) The error sum of squares, SSE
SSE = Sum of (y - y_hat)^2 = 215530.5833
c) Total sum of squares, SST
SST = SSyy = 1813945.875
d) The regression sum of squares, SSR
SSR = SST - SSE = 1813946.875 - 215530.5833 = 1598415.2917
e) The coefficient of determination, r-squared
r-squared = (b * SSxy) / SSyy = (19.5083 * 81935) / 1813945.875 = 0.8812
"
Regression and Correlation,"Construct a least-squares quadrate approximation to the function f(x) = sin πx
on [0, 1].","The normal equations for P₂(x) = a₂x² + a₁x + a₀ are
a₀ ∫₀¹ 1dx + a₁ ∫₀¹ x dx + a₂ ∫₀¹ x² dx = ∫₀¹ sin πx dx (E.1)
a₀ ∫₀¹ x dx + a₁ ∫₀¹ x² dx + a₂ ∫₀¹ x³ dx = ∫₀¹ x sin πx dx (E.2)
a₀ ∫₀¹ x² dx + a₁ ∫₀¹ x³ dx + a₂ ∫₀¹ x⁴ dx = ∫₀¹ x² sin πx dx (E.3)
Performing the integration gives
a₀ + (1/2)a₁ + (1/3)a₂ = 2/π (E.4)
(1/2)a₀ + (1/3)a₁ + (1/4)a₂ = 1/π (E.5)
(1/3)a₀ + (1/4)a₁ + (1/5)a₂ = (π² - 4)/π³ (E.6)
Equations (E.4), (E.5), and (E.6) in three unknowns can be solved to obtain
a₀ = (12π² - 120)/π³ ≈ -0.050465
and
a₁ = -a₂ = (720 - 60π²)/π³ ≈ 4.12251
Consequently, the least-squares polynomial approximation of degree 2 for f(x) = sin πx on [0, 1] is P₂(x) = -4.12251x² + 4.12251x - 0.050465."
Regression and Correlation,"Use the Gram-Schmidt orthogonalization process to find the first two orthogonal polynomials on [–1, 1] 
with respect to the weight function w(x) = 1.","Let
f₀*(x) = 1.

Hence
f₁*(x) = x - a₁₀ f₀*(x)
where
a₁₀ = [∫ from -1 to 1 of x dx] / [∫ from -1 to 1 dx] = 0.

or
f₁*(x) = x.

The second orthogonal polynomial is given by
f₂*(x) = x² - a₂₀ f₀*(x) - a₂₁ f₁*(x)
where
a₂₀ = [∫ from -1 to 1 of x² dx] / [∫ from -1 to 1 dx] = 1/3,
a₂₁ = [∫ from -1 to 1 of x²·x dx] / [∫ from -1 to 1 x² dx] = 0

Hence,
f₂*(x) = x² - 1/3 = (1/3)(3x² - 1)

Thus, the first two orthogonal polynomials are
f₀*(x) = 1, f₁*(x) = x, and f₂*(x) = (1/3)(3x² - 1)
"
Regression and Correlation,"Determine the equation to the best fitting exponential curve of the form
y = ae^(bx) for the data given in Table 
TABLE
x |  1  |  3  |  5. |  7. |  9  
y |115|105| 95 | 85 | 80","i	xᵢ	yᵢ	log yᵢ	xᵢ²	xᵢ log yᵢ
1	1	115	2.0607	1	2.0607
2	3	105	2.0212	9	6.0636
3	5	95	1.9777	25	9.8886
4	7	85	1.9294	49	13.5059
5	9	80	1.9031	81	17.1278
Σ	25	480	9.8921	165	48.6466

Given y = a·e^{bx}

The normal equations are:

Σ log yᵢ = 5A + B Σ xᵢ (E.1)
Σ xᵢ log yᵢ = A Σ xᵢ + B Σ xᵢ² (E.2)

where A = log a and B = b log e.

Solving the two normal equations (E.1) and (E.2), we get

A = 2.0802 and B = -0.0203

Hence,
a = antilog of A = 10^{2.0802} = 120.2818

and
b = B / log e = -0.0203 / log e = -0.0075

Hence, the fitted equation is
y = 120.2818 · e^{-0.0075x}

Let me know if you want any part specifically formatted as a Word equation!

"
Regression and Correlation,"For the data given in Table 6.14, find the equation to best fitting curve of the
form x *y^a= b.
TABLE 6.14
x | 200 | 150 | 100 | 60 | 40 | 10
y |1      | 1.5. |  1.8 | 2.4| 4.1| 6.5. ","x             y        log x        log y        (log x)²        (log x)(log y)        ŷ (estimated)
200        1        2.3010        0        5.2947        0.0000        1.1762
150        1.5        2.1761        0.1761        4.7354        0.3832        1.4040
100        1.8        2.0000        0.2553        4.0000        0.5105        1.8019
60           2.4        1.7782        0.3802        3.1618        0.6761        2.4675
40           4.1        1.6021        0.6128        2.5666        0.9817        3.1668
10           6.5        1.0000        0.8129        1.0000        0.8129        7.4322
Σ             560        17.3        10.8573        2.2373        20.7585        3.3644

Given
x·yᵃ = b  (E.1)

Taking logarithms (to the base 10) on both sides of the above Eq. (E.1), we get

log x + a log y = log b  (E.2)

(1/a) log x + log y = (log b)/a  (E.3)

The normal equations are given by

ΣY = 6A + BΣX
ΣXY = AΣX + BΣX²

(where Y = log y, X = log x, A = (1/a) log b, and B = -1/a)

Solving Eqs. (E.4) and (E.5), we obtain

A = 1.4865 and B = -0.6154

Therefore,
a = -1/B = -1 / -0.6154 = 1.6250
and
b = antilog of (aA) = 10^{(1.6250)(1.4865)} = 260.3529

Hence, the fitted equation is
x·y^{1.6250} = 260.3529

"
Regression and Correlation,"For the data given in Table, find the equation to best fitting curve of the
form y = a * b^x

x |. 1    |.  2   |.  3.  |.   4  |   5
y | 130 | 150 | 175 | 190 | 240","x            y           log y        x²        x log y        ŷ (estimated)
1        130        2.1139        1        2.1139        129.2062
2        150        2.1761        4        4.3522        149.5433
3        175        2.2430        9        6.7291        173.0814
4        190        2.2788        16        9.1150        200.3144
5        240        2.3802        25        11.9011        231.8555
Σ        15            885        11.192        55             34.2113

The normal equations are obtained as follows:
y = a*b^x
Taking logarithms (base 10) on both sides of the above Eq. (E.1), we get
log y = log a + x log b (E.2)
or Y = A + Bx (E.3)
where Y = log y, A = log a and B = log b.
Hence, the normal equations are
∑Y = nA + B∑x (E.4)
∑xY = A∑x + B∑x^2 (E.5)
Substituting the values from Table 6.9 (a) into Eqs. (E.4) and (E.5), we have
11.1920 = 5A + 15B (E.6)
34.2113 = 15A + 55B (E.7)
Solving Eqs. (E.6) and (E.7), we obtain
A = 2.0478 and B = 0.0635
Hence, a = antilog of A = 10^2.0478 = 111.6349
b = antilog of B = 10^0.0635 = 1.1574
Hence, the fitted equation is y = 111.6349(1.1574)^x. "
Regression and Correlation,"Fit the following data:
x |  0.  |.  2 |.  4 | 6
y | 11  | 16 | 19 | 26
to a straight line by considering that the data (2, 16) and (4, 19) are more significant or reliable with weights 6 and 11 respectively.","Weighted least-squares method.
Let the straight line be y = a + bx. The normal equations are
a∑wi + b∑wixi = ∑wiyi (E.1)
and a∑wixi + b∑wi *xi ^ 2 = ∑wixiyi (E.2)
The values in Eqs. (E.1) and (E.2) are calculated as shown in Table

x        y        w        wx        wx²        wy        wxy
0        11        1        0            0         11          0
2        16        6        12        24         96        192
4        19      11        44       176       209        836
6        26        1          6         36        26         156
Total.            19        62        236      342        1184

The normal equations are
19a + 62b = 342 (E.3)
62a + 236b = 1184 (E.4)

The solution of Eqs. (E.3) and (E.4) gives
a = 11.4125 and b = 2.0188

Hence,
y = 11.4125 + 2.0188x

x        y        w        Predicted y        Absolute error        (Absolute error)²
0        11        1        11.4125               0.4125                     0.1702
2        16        6        15.4500               0.5500                     0.3025
4        19        11       19.4875              0.4875                     0.2377
6        26        1        23.5250               2.4750                      6.1256
Sum of squares of errors                                                     6.8329"
